country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",11-04-2025 00:00,28.6811736,77.3025234,PM10,51,227,165
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-04-2025 00:00,28.628624,77.24106,PM2.5,47,268,134
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-04-2025 00:00,28.628624,77.24106,PM10,59,500,168
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",11-04-2025 00:00,22.06631475,83.33820077,PM2.5,28,120,55
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",11-04-2025 00:00,22.06631475,83.33820077,OZONE,10,78,67
India,Delhi,Delhi,"Alipur, Delhi - DPCC",11-04-2025 00:00,28.815329,77.15301,PM2.5,50,322,172
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",11-04-2025 00:00,28.647622,77.315809,SO2,NA,NA,NA
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-04-2025 00:00,28.695381,77.181665,PM2.5,47,306,129
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-04-2025 00:00,28.695381,77.181665,OZONE,4,305,99
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-04-2025 00:00,28.4706914,77.1099364,PM10,NA,NA,NA
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-04-2025 00:00,28.4706914,77.1099364,NO2,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",11-04-2025 00:00,24.952822,84.002396,NH3,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",11-04-2025 00:00,24.952822,84.002396,SO2,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",11-04-2025 00:00,24.952822,84.002396,OZONE,1,17,9
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",11-04-2025 00:00,26.2271665,84.3570427,NH3,1,2,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",11-04-2025 00:00,26.2271665,84.3570427,CO,79,106,93
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",11-04-2025 00:00,26.2271665,84.3570427,OZONE,2,66,2
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-04-2025 00:00,30.735567,76.775714,PM10,61,153,107
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",11-04-2025 00:00,30.735567,76.775714,CO,24,86,55
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",11-04-2025 00:00,22.118125,83.140608,NH3,7,7,7
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",11-04-2025 00:00,22.118125,83.140608,CO,24,36,26
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",11-04-2025 00:00,22.368195,82.746431,OZONE,4,31,13
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",11-04-2025 00:00,22.348441,82.549611,OZONE,35,36,36
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-04-2025 00:00,22.12665,83.483212,NO2,23,33,27
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-04-2025 00:00,22.12665,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-04-2025 00:00,22.12665,83.483212,CO,24,56,27
India,Delhi,Delhi,"Bawana, Delhi - DPCC",11-04-2025 00:00,28.7762,77.051074,PM10,132,406,248
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",11-04-2025 00:00,28.7256504,77.2011573,PM2.5,9,182,78
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",11-04-2025 00:00,28.5512005,77.2735737,NO2,16,229,112
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",11-04-2025 00:00,28.656756,77.227234,PM10,110,500,199
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-04-2025 00:00,28.7500499,77.1112615,NH3,10,14,12
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",11-04-2025 00:00,28.73282,77.170633,CO,30,88,58
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-04-2025 00:00,28.58028,77.233829,PM10,133,311,209
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",11-04-2025 00:00,28.5918245,77.2273074,OZONE,6,310,122
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",11-04-2025 00:00,23.023389,72.515201,NO2,45,63,54
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",11-04-2025 00:00,23.076793,72.627874,PM10,53,105,76
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",11-04-2025 00:00,23.076793,72.627874,NO2,10,35,17
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",11-04-2025 00:00,23.04307,72.562968,NO2,13,31,22
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",11-04-2025 00:00,23.04307,72.562968,SO2,14,60,29
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",11-04-2025 00:00,23.04307,72.562968,OZONE,29,78,64
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",11-04-2025 00:00,21.613267,73.010555,PM10,40,68,57
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",11-04-2025 00:00,21.613267,73.010555,NO2,90,129,107
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-04-2025 00:00,28.531346,77.190156,PM10,80,485,207
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-04-2025 00:00,28.531346,77.190156,NH3,7,11,9
